,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
0,SH600519,2019-01-02,609.98,612.0,595.01,598.98,6228649,3754387968.0,6367837.0,2694098.0,3617925.0,16.99000000000001,-0.01803337814354569,715668252.0,53.947984857740096,37.962224936924486,85.91950469937132,1125.2175770195936,6111.361615292815,-0.011376816177821155,-1.0
1,SH600519,2019-01-03,599.97,601.66,585.8,590.0,3097735,1838179200.0,6228649.0,3064043.0,2694326.0,15.860000000000014,-0.016617497541543787,712570517.0,56.73942839348569,44.22129275577822,81.77569966890061,-385.8506494041305,6134.449944587403,-0.011414985837307982,-1.0
2,SH600519,2019-01-04,587.28,607.67,582.02,602.0,3768347,2258501376.0,3097735.0,1910986.0,2710730.0,25.649999999999977,0.025064705081051675,716338864.0,65.45087884792635,51.29782145316093,93.7569936374572,-141.5283786990885,6179.427579428422,-0.011414985837307982,1.0
3,SH600519,2019-01-07,608.0,612.0,602.22,605.49,3475013,2105981440.0,3768347.0,2659286.0,2121333.0,9.779999999999973,-0.004128289473684195,719813877.0,73.2508627725115,58.61550189294445,102.5215845316456,-111.99573130687723,6222.596923517833,-0.011414985837307982,1.0
4,SH600519,2019-01-08,605.5,612.0,600.28,604.79,2883813,1750413184.0,3475013.0,1786620.0,2012621.0,11.720000000000027,-0.0011725846407927933,716930064.0,78.05124024989375,65.09408134526088,103.96555805915952,-54.568812354789614,6254.959315704776,-0.011414985837307982,1.0
5,SH600519,2019-01-09,609.99,626.16,609.04,616.12,4989227,3084214784.0,2883813.0,2949357.0,1912019.0,17.120000000000005,0.010049345071230668,721919291.0,80.4574778504769,70.21521351366623,100.94200652409828,-60.07941873329756,6305.703663064351,-0.011414985837307982,1.0
6,SH600519,2019-01-10,617.13,624.88,610.25,618.77,2904390,1797683072.0,4989227.0,6367837.0,2023382.0,14.629999999999995,0.002657462771215119,724823681.0,83.24835484267989,74.55959395667078,100.62587661469811,-50.58862585867906,6351.504568472175,-0.011414985837307982,1.0
7,SH600519,2019-01-11,625.0,637.0,618.75,635.88,3888421,2445929472.0,2904390.0,6228649.0,2773793.0,18.25,0.017407999999999993,728712102.0,88.3473880769381,79.15552533009323,106.73111357062785,-79.59778588345904,6425.736311379191,-0.011376816177821155,1.0
8,SH600519,2019-01-14,633.0,635.89,621.55,624.6,2564890,1606308096.0,3888421.0,3097735.0,4506945.0,14.340000000000032,-0.01327014218009475,726147212.0,84.7137067596709,81.00825247328578,92.12461533244112,-49.13875691633942,6458.862441219489,-0.011414985837307982,-1.0
9,SH600519,2019-01-15,627.86,661.5,625.0,659.98,5576485,3613918976.0,2564890.0,3768347.0,4901046.0,36.5,0.05115790144299685,731723697.0,89.17166090638017,83.72938861765057,100.05620548383936,-90.76464259469851,6563.949683128805,-0.011376816177821155,1.0
10,SH600519,2019-01-16,658.0,665.65,653.6,661.1,4208364,2775104000.0,5576485.0,3475013.0,8341468.0,12.049999999999955,0.004711246200607937,735932061.0,90.96756348679162,86.14211357403092,100.61846331231303,-94.71756104726741,6649.077148228731,-0.011376816177821155,1.0
11,SH600519,2019-01-17,663.0,669.7,655.8,659.25,3028476,2004454144.0,4208364.0,2883813.0,3147388.0,13.900000000000091,-0.005656108597285068,732903585.0,88.96060940413975,87.0816121840672,92.71860384428484,-69.51674565207425,6711.831064549318,-0.011376816177821155,1.0
12,SH600519,2019-01-18,665.0,690.2,661.5,683.61,6860918,4647515648.0,3028476.0,4989227.0,4158819.0,28.700000000000045,0.027984962406015057,739764503.0,90.1974940511584,88.12023947309758,94.35200320728003,-81.4355195394766,6815.570856261617,-0.011376816177821155,1.0
13,SH600519,2019-01-21,690.0,698.88,681.88,686.98,4705193,3242615808.0,6860918.0,2904390.0,3775807.0,17.0,-0.004376811594202872,744469696.0,89.04973928136,88.43007274251839,90.28907235904322,-77.65764735045686,6904.640604379518,-0.011376816177821155,1.0
14,SH600519,2019-01-22,686.0,686.0,665.22,671.0,4212221,2834735104.0,4705193.0,3888421.0,2684167.0,20.779999999999973,-0.021865889212827987,740257475.0,82.21428705484928,86.35814417996203,73.92657280462379,-29.10560325119713,6938.8884716739085,-0.011414985837307982,-1.0
15,SH600519,2019-01-23,667.22,674.5,663.13,665.66,3362481,2247371264.0,4212221.0,2564890.0,2464068.0,11.370000000000005,-0.0023380594106892165,736894994.0,74.32364758688026,82.34664531560144,58.27765212943788,5.8175843954710444,6953.78072777601,-0.011414985837307982,1.0
16,SH600519,2019-01-24,670.3,677.83,664.68,672.5,2915527,1960227072.0,3362481.0,5576485.0,1631660.0,13.150000000000091,0.0032821124869462114,739810521.0,71.51125193235443,78.73484752118577,57.06406075469175,-0.910462961826505,6980.69958849255,-0.011414985837307982,1.0
17,SH600519,2019-01-25,675.88,684.9,669.93,679.7,2898635,1966232064.0,2915527.0,4208364.0,1992154.0,14.970000000000027,0.00565189086820153,742709156.0,72.35382866596596,76.6078412361125,63.84580352567286,-20.560298761962766,7017.919329253061,-0.011376816177821155,1.0
18,SH600519,2019-01-28,684.0,693.98,676.03,677.0,3610287,2476278016.0,2898635.0,3028476.0,4039941.0,17.950000000000045,-0.01023391812865497,739098869.0,65.46203418720462,72.89257221980988,50.600958121994125,-36.429473427967935,7041.13076392621,-0.011376816177821155,1.0
19,SH600519,2019-01-29,677.5,688.0,668.0,685.0,3034259,2069407488.0,3610287.0,6860918.0,2455448.0,20.0,0.01107011070110701,742133128.0,66.23498038973655,70.67337494311876,57.358191282972115,-35.03086892709564,7077.253675066282,-0.011376816177821155,1.0
20,SH600519,2019-01-30,684.99,686.22,676.0,676.0,2269996,1545353600.0,3034259.0,4705193.0,2489585.0,10.220000000000027,-0.01312427918655748,739863132.0,57.08691933241221,66.14455640621658,38.971645184803464,-100.97119587304273,7085.544654817173,-0.011414985837307982,-1.0
